RECDATETIME,SPECDESCSCI
2018-09-06 20:28:27,Pipistrellus pipistrellus
2018-09-06 20:28:30,Pipistrellus pipistrellus
2018-09-06 20:28:34,Pipistrellus pipistrellus
2018-09-06 20:28:37,Pipistrellus pipistrellus
2018-09-06 20:28:40,Pipistrellus pipistrellus
2018-09-06 20:28:49,Pipistrellus pipistrellus
2018-09-06 20:28:56,Pipistrellus pipistrellus
2018-09-06 20:28:59,Pipistrellus pipistrellus
2018-09-06 20:29:05,Pipistrellus pipistrellus
2018-09-06 20:29:08,Pipistrellus pipistrellus
2018-09-06 20:29:11,Pipistrellus pipistrellus
2018-09-06 20:29:14,Pipistrellus pipistrellus
2018-09-06 20:29:17,Pipistrellus pipistrellus
2018-09-06 20:29:21,Pipistrellus pipistrellus
2018-09-06 20:43:37,Pipistrellus pipistrellus
2018-09-06 20:43:38,Pipistrellus pipistrellus
2018-09-06 20:43:47,Pipistrellus pipistrellus
2018-09-06 20:43:53,Pipistrellus pipistrellus
2018-09-06 20:44:02,Pipistrellus pipistrellus
2018-09-06 20:44:09,Pipistrellus pipistrellus
2018-09-06 20:44:13,Pipistrellus pipistrellus
2018-09-06 20:44:27,Pipistrellus pipistrellus
2018-09-06 20:44:32,Pipistrellus pipistrellus
2018-09-06 20:44:35,Pipistrellus pipistrellus
2018-09-06 20:44:38,Pipistrellus pipistrellus
2018-09-06 20:44:41,Pipistrellus pipistrellus
2018-09-06 20:44:46,Pipistrellus pipistrellus
2018-09-06 20:44:50,Pipistrellus pipistrellus
2018-09-06 20:44:53,Pipistrellus pipistrellus
2018-09-06 20:44:57,Pipistrellus pipistrellus
2018-09-06 20:45:01,Pipistrellus pipistrellus
2018-09-06 20:45:03,Pipistrellus pipistrellus
2018-09-06 20:45:07,Pipistrellus pipistrellus
2018-09-06 20:45:10,Pipistrellus pipistrellus
2018-09-06 20:45:14,Pipistrellus pipistrellus
2018-09-06 20:45:17,Pipistrellus pipistrellus
2018-09-06 20:45:20,Pipistrellus pipistrellus
2018-09-06 20:45:24,Pipistrellus pipistrellus
2018-09-06 20:45:28,Pipistrellus pipistrellus
2018-09-06 20:45:30,Pipistrellus pipistrellus
2018-09-06 20:45:34,Pipistrellus pipistrellus
2018-09-06 20:45:36,Pipistrellus pipistrellus
2018-09-06 20:45:40,Pipistrellus pipistrellus
2018-09-06 20:45:42,Pipistrellus pipistrellus
2018-09-06 20:45:56,Pipistrellus pipistrellus
2018-09-06 20:45:59,Pipistrellus pipistrellus
2018-09-06 20:46:06,Pipistrellus pipistrellus
2018-09-06 20:46:11,Pipistrellus pipistrellus
2018-09-06 20:46:14,Pipistrellus pipistrellus
2018-09-06 20:46:18,Pipistrellus pipistrellus
2018-09-06 20:46:21,Pipistrellus pipistrellus
2018-09-06 20:46:24,Pipistrellus pipistrellus
2018-09-06 20:46:41,Pipistrellus pipistrellus
2018-09-06 20:46:44,Pipistrellus pipistrellus
2018-09-06 20:46:48,Pipistrellus pipistrellus
2018-09-06 20:46:52,Pipistrellus pipistrellus
